english,transcription,russian,mnemonic_list
pineapple,['paɪnæpl],ананас,['ПОЕм в НЕПАЛе сочные ананасы']
angel,['eɪnʤ(ə)l],ангел,['Ангел хранитель АНЖЕЛики Варум']
reversal,[rɪ'vɜːs(ə)l],аннулирование,['повтоРИть полное изменение либо отмену ВЕРСаЛьского договора']
cancel,['kæn(t)s(ə)l],аннулировать,['КОНечно СЛедует отменить (изменения в программе)']
apartment,[ə'pɑːtmənt],апартаменты,['Апартаменты это АПАРТАМЕНТы']
appeal,[ə'piːl],апеллировать,"['обратился с АПИЛляцией (апелляцией), чтобы обжаловать']"
orange,['ɔrɪnʤ],апельсин,['Апельсин ОРАНЖевого цвета']
acclaim,[ə'kleɪm],аплодировать,['Эдику КЛЕЙМо выжгли на лбу и все бурно зааплодировали']
applause,[ə'plɔːz],аплодисменты,['ЭПЛАУСдисменты - аплодисменты.']
appetite,['æpɪtaɪt],аппетит,"['Аппетит возрастает, если еда выглядит АППЕТИТно']"
palatable,['pælətəbl],аппетитный,"['После больничной палаты он рассказывал о «ПАЛАТАБЕЛЬНОЙ еде», невероятно вкусной и аппетитной, особенно в период выздоровления.', 'ВСЕЙ ВАРИ компании вкусный обед']"
april,['eɪpr(ə)l],апрель,"[""Э'ЙПРИЛ и апрель - созвучно.""]"
drugstore,['drʌgstɔː],аптека,"['Сейчас в аптеках продают ДРАГоценные СТвОловые клетки', 'ФАрМАЦЕвт продается в аптеках или работает в аптеках']"
kit,[kɪt],аптечка,"['плывет КИТ, а на спине у него аптечка']"
peanut,['piːnʌt],арахис,"['ПИНАТь земляной орех', 'шПИНАТ люблю , арахис не очень']"
watermelon,['wɔːtəˌmelən],арбуз,['Арбуз под ВАТЕрлоо МЕЛОдию Наигрыват']
lease,[liːs],аренда,"['ЛИСа свой хвост сдала в аренду.', 'ЛИЗать сданную в аренду ЛИЗу']"
lessee,[le'siː],арендатор,"['ЛЕС И съемщикам нор даст место и арендаторам', 'под ТЕНТом отдыхает арендатор', 'Комната моего арендатора поросла ТИНОЙ и я отказал ему в сдаче жилья.']"
rent,[rent],арендовать,"['за умеренную РЕНТу арендовать дачу.', 'аРЕНДа в этом городе такая маленькая, что вы можете арендовать весь город, почувствуйте себя самым богатым человеком']"
landlord,['lændlɔːd],арендодатель,['Арендодатель принес ЛАНДыши для ЛОРа']
detention,[dɪ'ten(t)ʃ(ə)n],арест,['заДЕржаный украл ТЕНТ и камИН']
arrest,[ə'rest],арестовать,['Арестовать - значит произвести АРЕСТ']
detain,[dɪ'teɪn],арестовывать,"['Вчера на улице милиционеры задержали здорового ДЕТИНу, который приставал к дамам и распевал скабрезные частушки.']"
nobleman,['nəublmən],аристократ,['НЭУБеЛь(Нобель) поМЕНял премию дворянину']
fragrance,['freɪgrən(t)s],аромат,"['ФРАГменты Садов и благоухающих цветов', 'Он писал ОДЫ аромату цветов.']"
aromatic,[ˌærəu'mætɪk],ароматный,['Ароматная приправа АРОМАТИКа']
a,[eɪ],артикль,"['ЭЙ это я, да, один']"
ordnance,['ɔːdnən(t)s],артиллерия,['ОТ НЭНСи Регана можно спастись только артилерией.']
archive,['ɑːkaɪv],архив,['А КАЙ Вникал в архивы ледяных коллекций']
ace,[eɪs],ас,['группа ЕЙС оф бейс просто ас в своем деле']
range,[reɪnʤ],ассортимент,['Ассортимен машин марки РЕНДЖ Ровер в салоне широкий']
assault,[ə'sɔːlt],атака,['А СОЛДат кричит в атаку']
assault,[ə'sɔːlt],атаковать,['совЕтский СОЛдаТ кричит: в атаку']
weight-lifting,['weɪtˌlɪftɪŋ],атлетика,['ВЕТер сильно поднимал огромный ЛИФчик']
air,[eə],атмосфера,"['Э-Э! Э-Э! Включите свет, а то дышать темно и воздуха не видно.', 'Поверь ЭЭ ЭЭ ЭЭ - это последние слова задушенного. Он пытался сказать воздуха!!!!!!!!!!!', 'КЛИМАТ на марсе суровый из-за ядовитой атмосферы']"
testimonial,[ˌtestɪ'məunɪəl],аттестат,['ТЕСТЫ МЕНЯЛ экзаменатор для решения о выдаче аттестата.']
bill,[bɪl],афиша,['счет БИЛ по карману']
airport,['eəpɔːt],аэропорт,['Аэропорт и в английском АЭРОПОРТ']
bag,[bæg],баба,"['Когда 15 баб не только резвятся у пруда, но и БЭГают.']"
butterfly,['bʌtəflaɪ],бабочка,['пловец стилем БАТЕРФЛЯЙ имитирует бабочку']
grandfather;,mother,бабушка,"['Мой дедушка ГРАДиозную ФАЗЕнду построил', 'И только бабушка знает все ГРАНИ нашей сложной жизни.']"
baggage,['bægɪʤ],багаж,"['С багажом бежал по улице БАГровый таДЖик', 'ЛОГИЧно, что в этом багаже контрабанда.', 'ЛАГИ Железные в багаж набросали']"
purple,['pɜːpl],багряный,['ПОПЛакал вампир пурпурными слезами']
base,[beɪs],база,"['БЕЙсболисты За постройку новой базы!', 'БЕЙСя над основами наук']"
grocer,['grəusə],бакалейщик,['ГРОмадный СЭр бакалейщик (тот кто продает съестное)']
grocery,['grəus(ə)rɪ],бакалея,['В бакалее встретил шахматного ГРОССмейстеРа']
whiskers,['wɪskəz],бакенбарды,['ВИСят у КИСки усы от ВИСКАСа']
eggplant,['egplɑːnt],баклажан,['Баклажаны ЭГоисты выращивают на ПЛАНТациях']
ball,[bɔːl],бал,['БОЛьшой бал']
balcony,['bælkənɪ],балкон,"['БАЛ идет,а КОНИ на балконе уже ждут Золушку, чтобы забрать ее']"
mark,[mɑːk],балл,['Высший балл был поставлен МАРКером']
cosher,['kɔʃə],баловать,"['баловать КОШЕк', 'ИНна ДАЛа Жене она предается утехам , потакает и балует всех своих знакомых', 'Богатые мамы балуют и изнеживают детей ПАМПЕрсами.']"
hackneyed,['hæknɪd],банальный,['Рассказывает абсолютно банальный материал по юриспруденции. И каак ХАРКНЕТ.']
gang,[gæŋ],банда,['Банда ГЭНГстеров (гангстеров).']
thug,[θʌg],бандит,"['Есть множество САГ об убийцах и головорезах , которых выставляют героями']"
bank,[bæŋk],банк,['БАНК']
bankrupt,['bæŋkrʌpt],банкрот,"[""БЭ'НКРЭПТ и банкрот - созвучно.""]"
knock,[nɔk],барабанить,"['Барабанит НОКтем по стеклу', 'ПЕТЕ пришлось напрячь мозг чтобы понять что ему скороговоркой протараторили на жаргоне']"
ram,[ræm],баран,"['РЭМбо похож на барана.', 'РАМу выбил баран', 'Овца в ШИПовнике', 'Что за звук ШИП ШИП ШИП.Это овца травку ШИПлит.']"
lamb,[læm],баранина,"['под ЛАМпой режу барана', 'МАТушка Нам баранину приготовила', 'Когда он увидел, что его баранина испортилась, он выругался МАТерНыми словами.']"
schlock,[ʃlɔk],барахло,"['Эта дрянь похожа на вышедший ШЛАК.', 'барахло = ШЛАК']"
dabble,['dæbl],барахтаться,"['-ДА БЛин, хорош барахтаться, - сказал пионервожатый.']"
jumble,['ʤʌmbl],бардак,"['На улицах ДЖАМБуЛа царил полный бардак', 'на МЕСте работы у тебя полный беспорядок']"
bartender,['bɑːˌtendə],бармен,"['в БАРе проходит ТЕНДЕР на строительство, а бармен бегает вокруг и пытается остановить это безобразие, пить надо а не ерундой заниматься.']"
brock,[brɔk],барсук,['барсук в 1861 году отменил оБРОК']
plush,[plʌʃ],бархатный,['все ПЛЮШевые вещи шикарны (представьте какие эти вещи приятные на ощупь и мягкие и шикарные)']
hassle,[hæsl],барьер,['ХУй СЛаве надоел']
bass,[bæs],бас,['БЕЙСя за басовые партии']
fable,['feɪbl],басня,"['Мораль сей басни такова, что ослик ФЫЙБАЛ осла.']"
pool,[puːl],бассейн,['ПУЛей нырнул в бассейн']
strike,[straɪk],бастовать,"['Бастуют СТРЕКозы, что закончилось лето']"
turret,['tʌrɪt],башенка,['ТЁплые турецкие РЕТро снимаются около башенок']
pate,[peɪt],башка,"['Чтобы ПЕТь, нужна умная башка.']"
tower,['tauə],башня,['представьте знаменитую башню лондонский ТАУЭР']
vigil,['vɪʤɪl],бдение,"['У астронома спросили, как он смог не спать всю ночь и открыть новую звезду.\n- ВИДите ли, я принимал рыбий ЖИр! Это и помогЛо в бодрствовании всю ночь!']"
vigilance,['vɪʤɪlən(t)s],бдительность,"['-ВИЖУ ЛАНдСбергиса, - проявил\nбдительность летчик НАТО.']"
vigilant,['vɪʤɪlənt],бдительный,['бдительный охранник зоопарка уВИДел сбеЖавшего ЛьвА На Трамвае']
run,[rʌn],бег,"['РАНо выбежал на пробежку', 'в попу РАНенный джигит далеко не убежит', 'Кабан был РАНен, но бежал, потом споткнулся и упал. И сдох.', 'РАНо утром и бег два созвучных понятия']"
run,[rʌn],бегать,"['От РАН он не может бегать.', 'РАНо выбежал на пробежку', 'ученые РАН советуют бегать']"
escape,"[ɪs'keɪp,",бегство,"['Он совершил побег из тюрьмы, воспользовавшись ИЗГИБом в стене.', 'убежал ИСКАть Подмогу', 'После вхождения китайцев в Тибет отмечалось поспешное бегство ЛАМ.', 'резво СКАчет баМПЕР', 'Большая бочка СКАТываЛась за Смоктуновским в “Иван Васильевич меняет профессию”. Смоктуновский бежал стремительным бегством.']"
grief,[griːf],беда,"['ГРИФ улетел и дети горюют и плачут', 'ГРИФ от штанги упал на Урия (в электронике) вот было горе', 'горе - беда ГРИФону']"
poverty,['pɔvətɪ],бедность,"['ПОВЕРЬТЕ, бедность не порок,\nА ленивому урок!']"
bare,[beə],бедный,"['голый - БЕз одежды', 'Бедный неимущий человек ходит ПОНУРЯСь.', 'в ПУЭрто-рико живёт бедный башмачник.', 'Духи ПУАзон - не для бедных', 'ПОдайте бедному на пропитание', 'У писателя Эдгара ПО сгорели все его рукописи и он стал бедным и вынужден в лохмотьях просить милостыню на улице', 'ПОдайте бедному коту Базилио на пропитание. Ну ПОжалуйста! Да не бомж я! Я - бедный! Просто бедный кот. Мне есть нечего.', 'ПОбедный (победный) шаг улучшил материальное состояние бедного человека', 'Он был таким бедным, что носил рваные штаны из дырки на которых выглядывала его ПОпа.', 'паПУАсы очень бедны', 'он стал таким бедным, что хоть ПУлю в лоб', 'проходит испытание освежитель воздуха Амби ПЮР и как в рекламе все бедные и несчастные актеры нюхают ужасный запах в домах нищих', 'Бедного ПУшкина убили на дуэли']"
wretch,[reʧ],бедняга,['РЕЧь в защиту несчастных']
beggar,['begə],бедняк,"['нищие БЕГАют кросс', 'нищий БЕГАл от милищии', 'У бедняка(нищего) голая ПОПА.']"
ham,[hæm],бедро,"['на ветчине наколота сХЕМа', 'бедро САЙгака не вкусное']"
calamity,[kə'læmətɪ],бедствие,"['-У нас бедствие, лежит куча КАЛА, МЕТИ ее веником.', 'ДЕти ЗАСТЕклили окна после бедствия', 'ДИЗинформация прошла, что этот самолет после катАСТРофы упал в лесу, а на самом деле он упал в море', 'ДЕЗинформация, что АСТРы - к несчастью', 'НАТУРАЛьным КАЛОМ МОЙТЕ после стихийного бедствия']"
fled,[fled],бежать,"['он спасался бегством, бежав Ф (в) сЛЕД за уезжающим автобусом', 'ПОвСЮду ПРЕСЛЕДОВАТЬ тебя я буду!', 'РАНа - неглубокая. как ты смог бежать после того как тебя чуть не застрелили', 'в попу РАНенный джигит далеко не убежит', 'Кабан был РАНен, но бежал, потом споткнулся и упал. И сдох.', 'РАНо утром и бег два созвучных понятия', 'бежать с РАНой на голове', 'бежать на таРАН держа в руках кРАН', 'Подбежал ко мне мальчик с РАНцем', 'бежать с РАНцем']"
refugee,[ˌrefju'ʤiː],беженец,['РЕВет УЖаленный беженец']
imperative,[ɪm'perətɪv],безапелляционный,['ИМПЕРАТОР повелевает и отдает безапелляционные приказы.']
insipid,[ɪn'sɪpɪd],безвкусный,"['ИНна СЫПЕТ соль в безвкусный борщ', 'Безвкусный в одежде Майк ТАЙСон носит ЛИСу на воротнике']"
harmless,['hɑːmləs],безвредный,['Безвредные ХОМяки гуляют по ЛЕСу']
ignorant,['ɪgn(ə)r(ə)nt],безграмотный,"['на уроке истории я ИГНОРировал тему АНТичности, поэтому на экзамене преподаватель назвал меня безграмотным']"
abeyance,[ə'beɪən(t)s],бездействие,['-Что за временное бездействие? А БЕЙ фаЯНС!-сказал начальник таможни при уничтожении контрабанды.']
fal-lal,['fæ'læl],безделушка,"['ФУ-ЛЯ-ля-ля, у-ля-ля-ля - блестящая безделушка.', 'ФЕДЕРАЛьный бюджет имеет статью на покупку безделушек для Президента.']"
loaf,[ləuf],безделье,['ЛОВить мне рыбку скучно безделье одолело']
bum,[bʌm],бездельник,"['БАМ... - и ранец на полу,\nБАМ... - учебники в углу.\nЭто Васе в понедельник\nЗаниматься лень. Бездельник!', 'ДЕД БИТлз слушает и ничего не делает, бездельник.', 'ДЕД БИТлз слушает и ничего не делает, бездельник', 'Бездельник, человек, который на всех СКАЛИтся и дергает ВЕКами.', 'С КЕМ Бы ни работал бездельник, он всегда работает быстро и небрежно.']"
dawdle,['dɔːdl],бездельничать,"['Он любит бездельничать, а что ДО ДЕЛ, на них ему наплевать.']"
inert,[ɪ'nɜːt],бездеятельный,['ИНЕРТного газа наглотался и стал неактивный и вялый']
abysm,[ə'bɪz(ə)m],бездна,"['А БИЗ АМерики Колумб уплыл бы в бездну.', 'ОБИЗвредить и бросить в бездну', 'Этот БИСквит упал в бездну', 'Этот БИСквит упал в бездну', 'птица ИБИС летит в горах над бездной', 'Течение ГАЛФ (Гольфстрим) несет корабли в бездну.']"
stray,[streɪ],бездомный,['поСТРОЙ приют для бездомного']
abysmal,[ə'bɪzm(ə)l],бездонный,['А БЕЗ МАЛейшего дна - бездонный.']
callous,['kæləs],бездушный,['В греческой мифологии ГЕЛиОС был мозолистым и бездушным.']
cruel,"['kruːəl,",безжалостный,"['Безжалостный и КРОвожадный ЕЛьф', 'ИМператор ПЛАКал и БЛеднел , но он был безжалостным']"
blithe,[blaɪð],беззаботный,"['Когда я путешествовал автостопом, мне попался один веселый беззаботный водитель. Когда я его остановил, он сразу сказал:\n-ВЛАЗь!', 'КОРУ ЛЕСную беззаботно резал']"
silence,['saɪlən(t)s],безмолвие,"['преступники в тишине наловили САЙры, устроили ЛАНч и Съели ее']"
speechless,['spiːʧləs],безмолвный,['безмолвный парень с зажжённой СПИЧкой в ЛЕСу']
serenity,[sɪ'renɪtɪ],безмятежность,['Понюхай СИРЕНЬ - получишь безмятежность и спокойствие духа.']
placid,['plæsɪd],безмятежный,['ПЛЕмянник СИДел безмятежный и тихий']
harmless,['hɑːmləs],безобидный,['ХАМ ЛЕС (лез) к безобидной женщине']
ugliness,['ʌglɪnəs],безобразие,"['ОГЛЯНИСЬ вокруг во время прогулки в пригородном лесу - мусор везде, просто безобразие!']"
monstrous,['mɔn(t)strəs],безобразный,"['чудовищный МОНСТРУОЗный нос у нее', 'УГЛОватый уродливый карлик', 'мужик нАГЛЫй и безобразный', 'Чёрные УГЛИ на моих белых брюках - безобразный вид.']"
indifferent,[ɪn'dɪf(ə)r(ə)nt],безразличный,['Я безразличен к ИНДусам во ФРАНции']
folly,['fɔlɪ],безрассудство,"[""ФОЛИант словаря содержал слово 'безрассудство'.""]"
resigned,[rɪ'zaɪnd],безропотный,['как РЕЗИНа покорный']
purity,['pjuərətɪ],безукоризненность,"['Перед обедом всегда ПЬЮ апЕРИТИв чистый, без всяких примесей']"
mad,[mæd],безумец,['Все МЭДики (медики) - безумцы.']
insane,[ɪn'seɪn],безумный,"['И в СЕНе сгорел безумный', 'когда Индюк упал в басСЕЙН, раздался безумный крик']"
purity,['pjuərətɪ],безупречность,"['Перед обедом всегда ПЬЮ апЕРИТИв чистый, без всяких примесей']"
blond,[blɔnd],белокурый,['у БЛОНДинки белокурые волосы']
white,[(h)waɪt],белый,"['ВАТа белая', 'Белая ВАТа', 'на белый снег упал сверток ВАТы']"
petrol,['petr(ə)l],бензин,['Бензин ПьЕт ТРОЛь']
bank,[bæŋk],берег,"['БАНК на берегу реки', 'БАНК стоял на берегу реки и когда река выходила из берегов все в банке плавали на золотых надувных лодках', 'пляж для БИЧей', 'на побережье КОСТи товарища нашел робинзон', 'КУСТ растёт на берегу', 'ты воЛЕН Даже высаживаться на берег, но дальше в лес не уходи.', 'Побольше СОСАЙДе (сосите) воздух на морском берегу.', 'робинзон уныло ШЕл по берегу', 'ШОпен на берегу играет вальс', 'робинзон уныло ШОл к берегу', 'человек приехал на море увидел берег и воскликнул ШО это такое?']"
thrift,[θrɪft],бережливость,['ШРИФТ сделай меньше экономь']
gravid,['grævɪd],беременная,['ГРАВИТация вредно действует на беременных.']
save,[seɪv],беречь,"['сенСЭЙ, Вас мы будем беречь!']"
beware,[bɪ'weə],беречься,"['БУдь ВЕРным мне, иначе …. и тут придумать любые последствия для тех кто ослушается вас, лучше им поберечься']"
den,[den],берлога,['ДЕНис хитро выглядывает из берлоги']
fiend,[fiːnd],бес,['злой дух в эФИре НеДелю. (образ: злой дух висит над человеком и постоянно что-то нашёптывает)']
conversation,[ˌkɔnvə'seɪʃ(ə)n],беседа,"['КОНЬ ВЕСЕл слиШком был, любил побеседовать !', 'Во время беседы принесли КОНВЕРт', 'беседа затянулась и превратилась в ДИСКУССИю']"
bower,['bauə],беседка,['БОгоВЕР молится в беседке']
converse,[kən'vɜːs],беседовать,['КОНВОй С пленными не разговаривает']
endless,['endləs],бесконечный,"['И ЛЕС будет бесконечно', 'где конец (END) ЛЕСА (less)? – Он бесконечный, это тайга', 'и (AND) ЛЕС, и (AND) ЛЕС кругом, бесконечный']"
nonchalant,['nɔnʃ(ə)lənt],беспечный,['Мордюковой НОНны ТАЛАНТ позволял ей быть беспечной. Ее везде возьмут сниматься.']
free,[friː],бесплатный,['для ФРИцев вход бесплатный']
barren,['bær(ə)n],бесплодный,['бесплодный БАРАН']
afflict,[ə'flɪkt],беспокоить,"['ЭФиопский ЛИКёр огорчил меня - он причиняет боль в животе, тревожит меня', 'продавцы на БАЗАре надоедают', 'БАЗАР предстоит серьёзный, это беспокоит', 'ДЕСТАБилизация обстановки мешает нашему спокойствию.', 'сша ДИЗТОБелизируют обстановку и мешают ираку', 'Мешают постоянно ДИСТРИБьюторы работать', 'Беспокоили меня постоянно на работе ДИСТриБьюторы', 'ДИСТанцию спортсмЕн проБежал уверенно, и тренер не беспокоился за его будущее', 'Народ беспокоит то, что президент ВРЕТ.', 'Пи@АРАС беспокоит и надоедает мне', 'Беспокоит меня ТаРАкан в БЛюде']"
care,[keə],беспокоиться,"['пусть заботятся лаКЕИ', 'Меня волнует состояние моего КОНЦЕРНа, я беспокоюсь о нем']"
meddler,['medlə],беспокойный,['этому надоедливому человеку требуется МЕДицинское ЛЕчение']
anxiety,[æŋ(g)'zaɪətɪ],беспокойство,"['ЕлЕНа ЗА ЭТИх детей беспокоится', 'БОЖЕ мой, от тебя одни беспокойства и хлопоты', 'КОНЦЕРта Не будет, дело в том, что свет пропал. Беспокоиться и огорчаться не о чем. В отношении организаторов концерта, возбуждено уголовное дело.', 'Человек сказал бульдогу ФАС, чем заставил народ суетиться и беспокоиться из-за пустяков', 'ХОРОШий МЕНТ не беспокоится', 'А мой НИЗ, (АНУС) сжался от беспокойства и тревоги', 'темнАя НИЗИНА вызывала беспокойство']"
dud,[dʌd],бесполезный,"['на багДАД упала бомба бесполезная. Не разорвалась', 'проФЬЮкал ТАЛант - теперь ты бесполезный и пустой']"
clutter,['klʌtə],беспорядок,"['-Почему в этом помещении такой беспорядок и хаос?\n-Так это же сКЛАд-ТО.', 'КОНФУЗ от беспорядка', 'На улицах ДЖАМБуЛа царил полный бардак', 'похлебка, полужидкая еда, беспорядок, общее питание - МЕСиво - одно слово для всего этого!', 'на МЕСте работы у тебя полный беспорядок', 'вМЕСто работы у меня в голове полный бардак', 'СНАчала РыЛо рычало, затем побежало и внесло беспорядок']"
messy,['mesɪ],беспорядочный,"['грязный МЕССИя отлавливает грязнуль', 'грязное МЕСИво', 'РАНил ДОМ случайный снаряд']"
grim,[grɪm],беспощадный,['Под безобидным ГРИМом прячется зловещая личность.']
unremitting,[ˌʌnrɪ'mɪtɪŋ],беспрестанный,['АНкона РИМ И ТурИН упорно борются за звание лучшего города Италии.']
pure,[pjuə],беспримесный,['Чистую воду толко ПЬЮ']
equity,['ekwɪtɪ],беспристрастность,"['И КВИТЫ мы, справедливость восторжествовала.']"
raff,[ræf],беспутничать,['Молодой человек угнал автомобиль РАФ-беспутничает.']
gay,[geɪ],беспутный,['веселая ГЕЙша']
incoherent,[ˌɪnkəu'hɪər(ə)nt],бессвязный,['ИНостранный КОньяк делает речь оХИРЕНо (охеренно) бессвязной']
impotent,['ɪmpətənt],бессильный,['бессильный ИМПОТЕНТ']
dumb,[dʌm],бессловесный,['общество немых на пожертвования построило ДАМБу']
immortal,[ɪ'mɔːt(ə)l],бессмертный,['ИМ МОРаль ТАЛанта не заменит - бессмертными не стать']
senseless,['sen(t)sləs],бессмысленный,['с бесчувственного СЕНи СЛИЗывали кровь']
nonsense,['nɔns(ə)n(t)s],бессмыслица,"['НОНСЕНС - это абсурд, бессмыслица, вздор, ерунда, чепуха']"
insomnia,[ɪn'sɔmnɪə],бессонница,['сИНий СОМ в НИшЭ борется с бессонницей']
dauntless,['dɔːntləs],бесстрашный,['ДАуН в ЛЕС убежал и был там самый бесстрашный\nДАуН ЛЕЗ ко всем или на всё подряд ощущая себя самым бесстрашным']
gauche,[gəuʃ],бестактность,['Один неуклюжий мужик проявил бестактность наступив британскому послу на ногу. Затем он повернулся чтобы извиниться. Британский посол:\n-ГОУ УЖ.']
clumsy,['klʌmzɪ],бестактный,['бестактная реКЛАМа СИгарет']
dumb,[dʌm],бестолковый,['общество немых на пожертвования построило ДАМБу']
ingenuous,[ɪn'ʤenjuəs],бесхитростный,['Изобретательный ИНженер был очень беден. Его простодушный отказ брать Деньги от ЖЕНы выглядел искренним.']
colorless,['kʌlələs],бесцветный,"['цветы КАЛы были на флаге и их ЛАСтиком с флага стерли, он стал бесцветный', 'бесцветный КОЛОЛИСЬ бесцветным лаком']"
ignominious,[ˌɪgnə'mɪnɪəs],бесчестный,['И ГОВНО МИНИстр ОСтавляет чтобы продать. Он бесчестный.']
ignominy,['ɪgnəmɪnɪ],бесчестье,['И ГовНО МИНИстр оставляет чтобы продать. Он бесчестный.']
senseless,['sen(t)sləs],бесчувственный,['с бесчувственного СЕНи СЛИЗывали кровь']
concrete,['kɔŋkriːt],бетон,['КОНКРЕТно ломает бетон каратист']
fury,['fjuərɪ],бешенство,"['ФАРЫ в бешенстве разбил', 'РЕечный БИЗнес пришел в бешенство от падения цен на рейки.']"
library,['laɪbr(ə)rɪ],библиотека,"['Читая в библиотеке вестерны, я слышал ЛАЙ койотов в ПРЕРИях, т.е. ЛАЙ ПРЕРИй.']"
tusk,[tʌsk],бивень,['на бивнях слон ТАСКает бревна']
can,[kæn],бидон,['КЕНгуру любит консервы']
